,date,team,opponent,moneyLine,opponentMoneyLine,spread,FG%,FG3%,FT%,REB/G,AST/G,STL/G,BLK/G,TOV/G,PF/G,PTS/G,win%,FG%_opp,FG3%_opp,FT%_opp,REB/G_opp,AST/G_opp,STL/G_opp,BLK/G_opp,TOV/G_opp,PF/G_opp,PTS/G_opp,win%_opp,home,outcome
0,2009-10-29,Portland,Denver,-330.0,270.0,-7.0,0.42857142857142855,0.47619047619047616,0.9090909090909091,51.0,23.0,9.0,12.0,26.0,27.0,96.0,1.0,0.48314606741573035,0.38461538461538464,0.7666666666666667,42.0,22.0,5.0,6.0,13.0,25.0,114.0,1.0,1,0
1,2009-10-29,Denver,Portland,270.0,-330.0,7.0,0.48314606741573035,0.38461538461538464,0.7666666666666667,42.0,22.0,5.0,6.0,13.0,25.0,114.0,1.0,0.42857142857142855,0.47619047619047616,0.9090909090909091,51.0,23.0,9.0,12.0,26.0,27.0,96.0,1.0,0,1
2,2009-10-30,Washington,Atlanta,220.0,-260.0,6.0,0.4642857142857143,0.3076923076923077,0.8333333333333334,46.0,19.0,6.0,4.0,9.0,29.0,102.0,1.0,0.5287356321839081,0.5833333333333334,0.7241379310344828,35.0,30.0,16.0,6.0,10.0,25.0,120.0,1.0,0,0
3,2009-10-30,Chicago,Boston,600.0,-900.0,11.5,0.4166666666666667,0.1875,0.6785714285714286,52.0,20.0,5.0,9.0,9.0,20.0,92.0,1.0,0.4391891891891892,0.4166666666666667,0.8222222222222222,41.0,24.0,9.5,8.0,13.0,24.5,93.5,1.0,0,0
4,2009-10-30,Boston,Chicago,-900.0,600.0,-11.5,0.4391891891891892,0.4166666666666667,0.8222222222222222,41.0,24.0,9.5,8.0,13.0,24.5,93.5,1.0,0.4166666666666667,0.1875,0.6785714285714286,52.0,20.0,5.0,9.0,9.0,20.0,92.0,1.0,1,1
5,2009-10-30,Minnesota,Cleveland,750.0,-1100.0,12.0,0.3655913978494624,0.14285714285714285,0.7428571428571429,50.0,14.0,15.0,2.0,10.0,23.0,95.0,1.0,0.3790849673202614,0.38461538461538464,0.7101449275362319,40.5,18.0,5.5,5.5,13.5,24.5,90.0,0.0,1,0
6,2009-10-30,LA Lakers,Dallas,-380.0,310.0,-7.5,0.4117647058823529,0.23529411764705882,0.6756756756756757,47.0,17.0,13.0,4.0,16.0,15.0,99.0,1.0,0.39473684210526316,0.2222222222222222,0.7941176470588235,42.0,16.0,6.0,9.0,9.0,20.0,91.0,0.0,1,0
7,2009-10-30,Oklahoma City,Detroit,180.0,-220.0,5.0,0.5131578947368421,0.5714285714285714,0.8,41.0,20.0,4.0,6.0,12.0,19.0,102.0,1.0,0.5138888888888888,0.375,0.5517241379310345,39.0,20.0,5.0,4.0,9.0,27.0,96.0,1.0,0,1
8,2009-10-30,Miami,Indiana,105.0,-125.0,1.5,0.5662650602409639,0.4666666666666667,0.8235294117647058,43.0,21.0,6.0,3.0,16.0,20.0,115.0,1.0,0.5342465753424658,0.5555555555555556,0.84,40.0,23.0,1.0,4.0,25.0,26.0,109.0,0.0,0,1
9,2009-10-30,Utah,LA Clippers,-450.0,325.0,-9.0,0.4567901234567901,0.6,0.8620689655172413,39.0,26.0,3.0,4.0,15.0,20.0,105.0,0.0,0.5,0.32142857142857145,0.6046511627906976,43.0,27.0,9.5,5.5,17.5,25.5,99.5,0.0,1,1
10,2009-10-30,Dallas,LA Lakers,310.0,-380.0,7.5,0.39473684210526316,0.2222222222222222,0.7941176470588235,42.0,16.0,6.0,9.0,9.0,20.0,91.0,0.0,0.4117647058823529,0.23529411764705882,0.6756756756756757,47.0,17.0,13.0,4.0,16.0,15.0,99.0,1.0,0,1
11,2009-10-30,Toronto,Memphis,-140.0,120.0,-2.5,0.4533333333333333,0.3125,0.7567567567567568,48.0,23.0,4.0,6.0,13.0,30.0,101.0,1.0,0.3611111111111111,0.16666666666666666,0.6451612903225806,49.0,10.0,3.0,3.0,14.0,26.0,74.0,0.0,0,0
12,2009-10-30,Indiana,Miami,-125.0,105.0,-1.5,0.5342465753424658,0.5555555555555556,0.84,40.0,23.0,1.0,4.0,25.0,26.0,109.0,0.0,0.5662650602409639,0.4666666666666667,0.8235294117647058,43.0,21.0,6.0,3.0,16.0,20.0,115.0,1.0,1,0
13,2009-10-30,Cleveland,Minnesota,-1100.0,750.0,-12.0,0.3790849673202614,0.38461538461538464,0.7101449275362319,40.5,18.0,5.5,5.5,13.5,24.5,90.0,0.0,0.3655913978494624,0.14285714285714285,0.7428571428571429,50.0,14.0,15.0,2.0,10.0,23.0,95.0,1.0,0,1
14,2009-10-30,Detroit,Oklahoma City,-220.0,180.0,-5.0,0.5138888888888888,0.375,0.5517241379310345,39.0,20.0,5.0,4.0,9.0,27.0,96.0,1.0,0.5131578947368421,0.5714285714285714,0.8,41.0,20.0,4.0,6.0,12.0,19.0,102.0,1.0,1,0
15,2009-10-30,Memphis,Toronto,120.0,-140.0,2.5,0.3611111111111111,0.16666666666666666,0.6451612903225806,49.0,10.0,3.0,3.0,14.0,26.0,74.0,0.0,0.4533333333333333,0.3125,0.7567567567567568,48.0,23.0,4.0,6.0,13.0,30.0,101.0,1.0,1,1
16,2009-10-30,LA Clippers,Utah,325.0,-450.0,9.0,0.5,0.32142857142857145,0.6046511627906976,43.0,27.0,9.5,5.5,17.5,25.5,99.5,0.0,0.4567901234567901,0.6,0.8620689655172413,39.0,26.0,3.0,4.0,15.0,20.0,105.0,0.0,0,0
17,2009-10-30,Atlanta,Washington,-260.0,220.0,-6.0,0.5287356321839081,0.5833333333333334,0.7241379310344828,35.0,30.0,16.0,6.0,10.0,25.0,120.0,1.0,0.4642857142857143,0.3076923076923077,0.8333333333333334,46.0,19.0,6.0,4.0,9.0,29.0,102.0,1.0,1,1
18,2009-10-31,LA Clippers,Dallas,175.0,-210.0,5.0,0.48739495798319327,0.36585365853658536,0.6493506493506493,40.333333333333336,24.0,8.666666666666666,7.0,14.666666666666666,24.0,99.0,0.0,0.40522875816993464,0.2727272727272727,0.7878787878787878,44.0,17.5,6.0,6.0,13.0,20.5,92.5,0.5,1,0
19,2009-10-31,Milwaukee,Detroit,-145.0,125.0,-2.0,0.4,0.30434782608695654,0.5789473684210527,44.0,17.0,7.0,2.0,20.0,27.0,86.0,0.0,0.44366197183098594,0.3333333333333333,0.6666666666666666,41.0,16.0,5.5,4.5,12.0,27.0,89.5,0.5,1,1
20,2009-10-31,Portland,Houston,-145.0,125.0,-2.5,0.3860759493670886,0.375,0.8412698412698413,47.5,19.5,6.5,8.5,16.5,28.5,95.0,0.5,0.41916167664670656,0.38636363636363635,0.7755102040816326,37.0,24.0,13.0,4.5,17.0,24.0,97.5,0.5,0,0
21,2009-10-31,Dallas,LA Clippers,-210.0,175.0,-5.0,0.40522875816993464,0.2727272727272727,0.7878787878787878,44.0,17.5,6.0,6.0,13.0,20.5,92.5,0.5,0.48739495798319327,0.36585365853658536,0.6493506493506493,40.333333333333336,24.0,8.666666666666666,7.0,14.666666666666666,24.0,99.0,0.0,0,1
22,2009-10-31,Detroit,Milwaukee,125.0,-145.0,2.0,0.44366197183098594,0.3333333333333333,0.6666666666666666,41.0,16.0,5.5,4.5,12.0,27.0,89.5,0.5,0.4,0.30434782608695654,0.5789473684210527,44.0,17.0,7.0,2.0,20.0,27.0,86.0,0.0,0,0
23,2009-10-31,Philadelphia,New York,-140.0,120.0,-2.0,0.4797297297297297,0.3611111111111111,0.78125,39.5,18.5,10.5,6.5,16.0,21.5,102.5,0.5,0.3837837837837838,0.25333333333333335,0.8205128205128205,44.5,19.5,6.5,5.0,15.0,22.5,96.5,0.0,0,1
24,2009-10-31,New York,Philadelphia,120.0,-140.0,2.0,0.3837837837837838,0.25333333333333335,0.8205128205128205,44.5,19.5,6.5,5.0,15.0,22.5,96.5,0.0,0.4797297297297297,0.3611111111111111,0.78125,39.5,18.5,10.5,6.5,16.0,21.5,102.5,0.5,1,0
25,2009-10-31,Houston,Portland,125.0,-145.0,2.5,0.41916167664670656,0.38636363636363635,0.7755102040816326,37.0,24.0,13.0,4.5,17.0,24.0,97.5,0.5,0.3860759493670886,0.375,0.8412698412698413,47.5,19.5,6.5,8.5,16.5,28.5,95.0,0.5,1,1
26,2009-10-31,San Antonio,Sacramento,-4000.0,2000.0,-16.5,0.47560975609756095,0.28888888888888886,0.6744186046511628,43.0,22.0,4.5,2.5,11.5,22.5,99.0,0.5,0.38857142857142857,0.25,0.7291666666666666,44.5,17.0,6.5,4.0,11.0,23.5,90.5,0.0,1,1
27,2009-10-31,Sacramento,San Antonio,2000.0,-4000.0,16.5,0.38857142857142857,0.25,0.7291666666666666,44.5,17.0,6.5,4.0,11.0,23.5,90.5,0.0,0.47560975609756095,0.28888888888888886,0.6744186046511628,43.0,22.0,4.5,2.5,11.5,22.5,99.0,0.5,0,0
28,2009-11-01,LA Lakers,Atlanta,-450.0,350.0,-8.5,0.4036144578313253,0.275,0.6666666666666666,43.5,18.0,10.0,2.5,17.5,22.0,89.5,0.5,0.4727272727272727,0.375,0.8253968253968254,41.0,24.0,10.5,6.5,11.0,24.5,110.0,1.0,1,1
29,2009-11-01,Miami,Chicago,-190.0,160.0,-4.0,0.506578947368421,0.36363636363636365,0.7777777777777778,44.0,18.5,6.5,3.0,15.5,21.5,105.5,1.0,0.41566265060240964,0.16129032258064516,0.7090909090909091,44.0,19.5,5.5,6.0,12.0,23.5,91.0,0.5,1,1
30,2009-11-01,Memphis,Denver,525.0,-700.0,11.0,0.44155844155844154,0.23809523809523808,0.7272727272727273,47.0,17.0,7.0,4.0,15.5,24.0,94.5,0.5,0.47333333333333333,0.3333333333333333,0.7721518987341772,39.0,16.5,5.5,4.5,10.5,27.5,105.5,1.0,0,0
